BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
-6.786333873,-6.765180278,5.120621352,-6.719275313
-6.819679283,-6.797743106,5.120621352,-6.751111698
-6.85463332,-6.832026862,5.120621352,-6.783835687
-6.891350896,-6.868315918,5.120621352,-6.81813428
-6.929459176,-6.906345669,5.120621352,-6.854609094
-6.968034809,-6.945203566,5.120621352,-6.893331577
-7.005667489,-6.983352968,5.120621352,-6.934273844
-7.040772101,-7.018961398,5.120621352,-6.974872454
-7.072133643,-7.050554774,5.120621352,-7.012629068
-7.099476831,-7.077730353,5.120621352,-7.044479059
-7.123646052,-7.101418523,5.120621352,-7.071060504
-7.146229267,-7.123408687,5.120621352,-7.093991607
-7.168965727,-7.145632897,5.120621352,-7.115150558
-7.193270276,-7.169539963,5.120621352,-7.136386841
-7.219956594,-7.195902416,5.120621352,-7.159639387
-7.24918573,-7.224812585,5.120621352,-7.185957231
-7.280597151,-7.255856091,5.120621352,-7.215536665
-7.313545052,-7.288365645,5.120621352,-7.247664346
-7.347389145,-7.32175151,5.120621352,-7.281254503
-7.381802638,-7.355702767,5.120621352,-7.31487453
-7.416826474,-7.390302787,5.120621352,-7.34840169
-7.452774523,-7.425901643,5.120621352,-7.382253855
-7.490005554,-7.462894566,5.120621352,-7.417216574
-7.528659274,-7.501438148,5.120621352,-7.45391668
-7.568371351,-7.541261189,5.120621352,-7.493199614
