"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
4330, 7.403017380671768e-01, 1.255111756605935e+00, -2.242503367080722e-02, -9.091539965930794e-10, 5.373163566700367e-10, -3.774567473713589e-09, 4.101476952994419e+03, 5.256980637557566e+03, 5.190851367969732e+02, 8.721875207264988e+03, -1.333432471702118e+03, -3.463713251824542e+03, 7.712249001830856e+03
4331, 7.245734826212887e-01, 1.266956027562811e+00, -2.195058610209731e-02, -9.526534715673953e-10, 2.969718879366038e-10, -2.443784946553475e-09, 4.016385566051656e+03, 3.928518302557460e+03, 4.146326017630754e+02, 4.832394383659761e+03, -2.422418489452354e+03, -7.902448905471217e+02, 4.553992431566210e+03
4332, 7.427431909974735e-01, 1.274827556065175e+00, -2.207496849958530e-02, -1.387609024303941e-09, 2.400355035137776e-10, -1.324398661229462e-08, 1.013000215441934e+04, 9.934719357195263e+03, 6.018442894677062e+02, 2.177602826083339e+04, 2.823197046659971e+00, -4.345006585884653e+01, 1.179129616620086e+04
4333, 7.585960345030527e-01, 1.262855624626926e+00, -2.226283360388539e-02, -6.544233626025580e-10, 7.887265306929248e-10, -2.966989647423254e-09, 4.336442172014331e+03, 3.866181928952525e+03, -2.473480567523652e+01, 5.327224790182735e+03, 2.643643291031542e+03, -2.037944567770511e+03, 5.924251829042221e+03
4334, 7.610380693734442e-01, 1.282568284602447e+00, -2.198537718546704e-02, -4.538781924273193e-10, 7.206274336982866e-10, -4.455405143411468e-09, 5.537857036941647e+03, 4.057826479149777e+03, -3.138931327929022e+02, 7.846691733728160e+03, 4.483642157214096e+03, -1.218642991793245e+02, 8.460947607316015e+03
4335, 7.537424394052497e-01, 1.223411071303212e+00, -2.275551855486847e-02, -5.654585451057379e-11, 6.489496888532241e-10, -1.207163990460793e-08, 1.027714220876085e+04, 9.180095022685111e+03, 1.969209731867213e+02, 2.234072846718651e+04, -5.175774127807276e+02, 1.909166984367069e+03, 1.310811572149245e+04
4336, 6.519103781557990e-01, 1.105111813265067e+00, -2.442790653574915e-02, -1.545218665620476e-09, 2.284895164483597e-09, -1.668460675781052e-08, 1.187919857335868e+04, 1.041902367193648e+04, 4.001997159623596e+02, 2.173136678273590e+04, 1.606793314714136e+03, 5.935712051837692e+02, 1.108449511461834e+04
4337, 7.231819997029563e-01, 1.117013954968354e+00, -2.421288914110387e-02, -2.091737216967142e-10, 7.979112052330265e-10, -4.810478678684217e-09, 2.946710319075461e+03, 2.360811321856363e+03, -5.428202887255628e+01, 2.981526195396315e+03, 2.866921896721868e+03, 4.249928568922718e+02, 5.057005858620681e+03
4338, 6.999769570581270e-01, 1.069810536493469e+00, -2.504266372778392e-02, -8.560542283374926e-10, 3.825583938997970e-10, -3.737553778776547e-09, 4.384221922866970e+03, 3.590538455881747e+03, -9.134563657491313e+01, 5.684426758550243e+03, -1.394722729835394e+03, 3.440009997910264e+02, 3.093252941673197e+03
4339, 3.651589509067941e-01, 3.299932489924779e-01, -3.712341708819371e-02, -1.963599447749771e-09, 6.962507280167584e-10, -6.410687965258747e-09, 1.714800264729969e+03, 3.294966092423815e+03, 1.738909995771346e+02, 4.354737784125291e+03, -3.461549294997121e+01, -2.118636395430944e+03, 4.342214246017731e+03
