"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
802, -6.796894335816668e-02, -4.069846327830803e+00, 2.952757386019734e-04, -3.600143612610545e-06, 1.443559504498558e-06, 3.100818988953653e-09, -1.561170900513984e-07, -2.130371785323424e-07, 0.000000000000000e+00
803, -1.888868944465789e-01, 4.286465769522022e-01, -1.316525226787514e-03, 8.945085578668494e-06, -4.914668545533688e-06, -3.745855885319987e-09, -5.214312973722448e-04, 1.405796681169016e-05, 0.000000000000000e+00
804, 5.123484684042251e-02, -4.596008761495076e-02, 3.480259720378342e-04, 2.131922688868350e-07, 2.980733042480163e-05, -1.325233121679790e-08, 4.031200140619827e-02, 2.991118287473993e-03, 0.000000000000000e+00
805, -3.660801235067498e+00, 1.798472236398761e+00, 3.178119303496311e-03, -2.244000954567967e-05, 9.074183228057860e-07, 3.123520672566519e-09, -4.863276766393154e-07, 1.418639769043048e-07, 0.000000000000000e+00
806, 6.810924287962613e-01, 2.700699962892295e-01, -7.774601836752184e-04, 3.702573846573744e-06, 5.227849519173953e-06, -2.692891373831922e-09, -5.747870717692786e-05, -4.478092291233045e-05, 0.000000000000000e+00
807, 1.378502672026053e+00, -4.471644671975307e-02, -1.322314411201715e-03, 5.190100167076064e-06, -2.024932940445299e-06, -3.215827802587413e-09, 1.554341515421012e-05, -6.311755242849471e-05, 0.000000000000000e+00
808, 1.719502329946446e-01, 1.130186405639346e-01, 3.117720224265721e-03, -9.188552038456320e-06, -3.493225335224575e-06, 1.383498266625190e-08, 8.822841126153490e-05, -3.028503307483932e-06, 0.000000000000000e+00
809, 1.290536757635236e+00, 2.054584020738966e-01, -1.671618509153466e-03, 6.782121121246856e-06, -1.088562342023215e-06, -5.157933880199217e-09, 1.264947307274407e-04, -5.955835318986911e-05, 0.000000000000000e+00
810, 1.243183851311935e+00, 5.763492668095153e-01, -3.552807933165582e-03, 1.411070802639769e-05, -1.253702068385880e-07, -1.059908021127448e-08, 8.583082724002899e-06, -2.699374596177913e-05, 0.000000000000000e+00
811, 1.611283786846841e+00, -1.554316000225641e+00, -4.937302688960293e-04, -1.185486173294385e-07, -4.104461083956917e-06, 1.829259487948122e-09, 3.284954242283752e-07, 1.868923839493278e-07, 0.000000000000000e+00
812, 2.591369375063922e-01, 1.179427485440833e-01, 2.370953486144114e-03, -7.023783651785949e-06, 1.089191513563818e-06, 9.122083655313469e-09, -2.315252252741130e-05, 8.931291384021948e-05, 0.000000000000000e+00
813, -2.865776976806684e+00, -2.146168838054062e+00, -2.558999497195886e-04, -1.869011279556721e-06, 1.762678026983880e-06, 3.641024270937008e-09, 2.742964012145463e-07, -8.602308247121301e-08, 0.000000000000000e+00
814, 8.605851565821900e-01, -3.100430087523938e-02, 1.337266916740806e-03, -6.938841079345653e-06, 2.905109723331699e-08, 5.795043945025503e-10, -4.428784257539371e-05, -2.389714024539651e-04, 0.000000000000000e+00
815, 1.015918616605107e+00, 7.350591255699448e-02, -1.619586172015969e-03, 7.484987574716582e-06, -3.046378021033540e-06, -5.908301738746359e-09, -1.883259545076031e-04, -2.235906875261581e-04, 0.000000000000000e+00
